time,gen,forecast_day_ahead
2019-04-11T21:00:00.0,257,166
2019-04-11T22:00:00.0,237,170
2019-04-11T23:00:00.0,338,166
2019-04-12T00:00:00.0,360,327
2019-04-12T01:00:00.0,320,268
2019-04-12T02:00:00.0,290,240
2019-04-12T03:00:00.0,252,252
2019-04-12T04:00:00.0,213,227
2019-04-12T05:00:00.0,135,165
2019-04-12T06:00:00.0,221,171
2019-04-12T07:00:00.0,307,277
2019-04-12T08:00:00.0,280,284
2019-04-12T09:00:00.0,226,237
2019-04-12T10:00:00.0,158,128
2019-04-12T11:00:00.0,97,78
2019-04-12T12:00:00.0,47,49
2019-04-12T13:00:00.0,28,34
2019-04-12T14:00:00.0,12,39
2019-04-12T15:00:00.0,18,59
2019-04-12T16:00:00.0,64,86
2019-04-12T17:00:00.0,145,108
2019-04-12T18:00:00.0,222,113
2019-04-12T19:00:00.0,107,114
2019-04-12T20:00:00.0,41,119
2019-04-12T21:00:00.0,35,123
2019-04-12T22:00:00.0,39,129
2019-04-12T23:00:00.0,132,134
2019-04-13T00:00:00.0,145,137
2019-04-13T01:00:00.0,265,242
2019-04-13T02:00:00.0,259,266
2019-04-13T03:00:00.0,140,142
2019-04-13T04:00:00.0,125,115
2019-04-13T05:00:00.0,194,178
2019-04-13T06:00:00.0,229,222
2019-04-13T07:00:00.0,236,228
2019-04-13T08:00:00.0,231,212
2019-04-13T09:00:00.0,249,221
2019-04-13T10:00:00.0,223,208
2019-04-13T11:00:00.0,199,220
2019-04-13T12:00:00.0,241,240
2019-04-13T13:00:00.0,287,254
2019-04-13T14:00:00.0,282,262
2019-04-13T15:00:00.0,282,274
2019-04-13T16:00:00.0,300,296
2019-04-13T17:00:00.0,357,333
2019-04-13T18:00:00.0,362,367
2019-04-13T19:00:00.0,354,387
2019-04-13T20:00:00.0,305,400
2019-04-13T21:00:00.0,288,418
2019-04-13T22:00:00.0,190,439
2019-04-13T23:00:00.0,252,440
2019-04-14T00:00:00.0,515,471
2019-04-14T01:00:00.0,481,464
2019-04-14T02:00:00.0,441,421
2019-04-14T03:00:00.0,418,402
2019-04-14T04:00:00.0,373,382
2019-04-14T05:00:00.0,280,261
2019-04-14T06:00:00.0,402,380
2019-04-14T07:00:00.0,414,407
2019-04-14T08:00:00.0,522,467
2019-04-14T09:00:00.0,651,563
2019-04-14T10:00:00.0,690,554
2019-04-14T11:00:00.0,597,514
2019-04-14T12:00:00.0,416,453
2019-04-14T13:00:00.0,290,377
2019-04-14T14:00:00.0,205,317
2019-04-14T15:00:00.0,153,280
2019-04-14T16:00:00.0,175,276
2019-04-14T17:00:00.0,196,296
2019-04-14T18:00:00.0,278,326
2019-04-14T19:00:00.0,358,365
2019-04-14T20:00:00.0,408,405
2019-04-14T21:00:00.0,434,437
2019-04-14T22:00:00.0,420,436
2019-04-14T23:00:00.0,432,414
2019-04-15T00:00:00.0,415,396
2019-04-15T01:00:00.0,399,380
2019-04-15T02:00:00.0,485,464
2019-04-15T03:00:00.0,348,336
2019-04-15T04:00:00.0,344,333
2019-04-15T05:00:00.0,319,303
2019-04-15T06:00:00.0,304,296
2019-04-15T07:00:00.0,334,325
2019-04-15T08:00:00.0,315,358
2019-04-15T09:00:00.0,310,367
2019-04-15T10:00:00.0,256,364
2019-04-15T11:00:00.0,277,359
2019-04-15T12:00:00.0,336,315
2019-04-15T13:00:00.0,271,260
2019-04-15T14:00:00.0,190,204
2019-04-15T15:00:00.0,155,162
2019-04-15T16:00:00.0,150,151
2019-04-15T17:00:00.0,186,182
2019-04-15T18:00:00.0,202,254
2019-04-15T19:00:00.0,279,349
2019-04-15T20:00:00.0,403,441
2019-04-15T21:00:00.0,479,515
2019-04-15T22:00:00.0,420,557
2019-04-15T23:00:00.0,409,564
2019-04-16T00:00:00.0,591,545
2019-04-16T01:00:00.0,624,610
2019-04-16T02:00:00.0,538,528
2019-04-16T03:00:00.0,510,485
2019-04-16T04:00:00.0,510,499
2019-04-16T05:00:00.0,513,508
2019-04-16T06:00:00.0,483,478
2019-04-16T07:00:00.0,560,542
2019-04-16T08:00:00.0,587,582
2019-04-16T09:00:00.0,576,555
2019-04-16T10:00:00.0,575,535
